position,predictions,duration_m,pred/actual,diff,"diff, %",diff^2,stand.deviation,z score,,MSE=,35.9118664174
659,4.94,3.65,135%,1.29,35%,1.66,1.29,-0.64,,,
3217,3.60,2.66,135%,0.94,35%,0.88,0.94,-0.80,,,
1820,3.95,2.92,135%,1.03,35%,1.06,1.03,-0.76,,,
6664,2.58,1.91,135%,0.67,35%,0.45,0.67,-0.93,,,
4516,1.47,1.08,135%,0.38,35%,0.15,0.38,-1.07,,,
8007,2.22,1.64,135%,0.58,35%,0.33,0.58,-0.97,,,
5935,13.70,10.15,135%,3.55,35%,12.57,3.55,0.45,,,
6049,4.88,3.61,135%,1.26,35%,1.59,1.26,-0.64,,,
5691,3.14,2.33,135%,0.81,35%,0.66,0.81,-0.86,,,
8881,5.18,3.84,135%,1.34,35%,1.78,1.34,-0.61,,,
2312,12.83,9.53,135%,3.31,35%,10.93,3.31,0.34,,,
1559,12.96,9.63,135%,3.33,35%,11.12,3.33,0.36,,,
9100,5.47,4.07,134%,1.40,34%,1.96,1.40,-0.57,,,
255,4.06,3.02,134%,1.04,34%,1.08,1.04,-0.74,,,
4639,5.82,4.34,134%,1.49,34%,2.21,1.49,-0.52,,,
3417,3.44,2.56,134%,0.88,34%,0.77,0.88,-0.82,,,
8361,12.09,9.00,134%,3.08,34%,9.51,3.08,0.26,,,
13129,5.03,3.75,134%,1.28,34%,1.65,1.28,-0.62,,,
8238,6.42,4.80,134%,1.62,34%,2.63,1.62,-0.45,,,
6177,2.33,1.74,134%,0.59,34%,0.35,0.59,-0.96,,,
8618,20.21,15.11,134%,5.10,34%,26.00,5.10,1.28,,,
3121,4.52,3.38,134%,1.14,34%,1.30,1.14,-0.68,,,
10609,7.38,5.52,134%,1.86,34%,3.46,1.86,-0.33,,,
7798,7.07,5.29,134%,1.78,34%,3.18,1.78,-0.36,,,
413,7.73,5.78,134%,1.94,34%,3.78,1.94,-0.28,,,
8934,3.56,2.66,134%,0.89,34%,0.80,0.89,-0.80,,,
4034,7.06,5.29,133%,1.77,33%,3.13,1.77,-0.36,,,
5201,16.78,12.58,133%,4.19,33%,17.57,4.19,0.85,,,
65,6.09,4.57,133%,1.52,33%,2.31,1.52,-0.48,,,
2366,6.57,4.93,133%,1.64,33%,2.69,1.64,-0.42,,,
7467,5.87,4.40,133%,1.47,33%,2.15,1.47,-0.51,,,
6418,8.62,6.47,133%,2.15,33%,4.60,2.15,-0.17,,,
11179,9.23,6.93,133%,2.30,33%,5.27,2.30,-0.09,,,
9241,13.68,10.28,133%,3.40,33%,11.53,3.40,0.47,,,
4657,56.27,42.32,133%,13.95,33%,194.70,13.95,5.81,,,
4385,5.64,4.24,133%,1.40,33%,1.95,1.40,-0.54,,,
8757,4.67,3.52,133%,1.16,33%,1.34,1.16,-0.66,,,
3349,3.23,2.43,133%,0.80,33%,0.64,0.80,-0.84,,,
3267,11.91,8.97,133%,2.94,33%,8.67,2.94,0.25,,,
6817,5.02,3.78,133%,1.24,33%,1.54,1.24,-0.62,,,
10432,9.64,7.26,133%,2.38,33%,5.67,2.38,-0.03,,,
3037,12.47,9.40,133%,3.08,33%,9.47,3.08,0.32,,,
7554,2.75,2.07,133%,0.68,33%,0.46,0.68,-0.90,,,
6047,4.45,3.35,133%,1.10,33%,1.20,1.10,-0.69,,,
2289,4.88,3.68,133%,1.20,33%,1.44,1.20,-0.63,,,
1541,10.75,8.12,132%,2.63,32%,6.94,2.63,0.11,,,
10524,10.01,7.56,132%,2.45,32%,6.02,2.45,0.01,,,
12400,38.93,29.41,132%,9.53,32%,90.81,9.53,3.66,,,
2069,4.69,3.55,132%,1.15,32%,1.31,1.15,-0.65,,,
177,2.39,1.81,132%,0.58,32%,0.34,0.58,-0.95,,,
5147,11.99,9.07,132%,2.92,32%,8.53,2.92,0.27,,,
306,4.69,3.55,132%,1.14,32%,1.30,1.14,-0.65,,,
6294,5.04,3.81,132%,1.23,32%,1.50,1.23,-0.61,,,
10226,8.77,6.64,132%,2.13,32%,4.55,2.13,-0.14,,,
8081,11.55,8.74,132%,2.81,32%,7.88,2.81,0.21,,,
6374,4.51,3.42,132%,1.09,32%,1.19,1.09,-0.68,,,
7913,2.12,1.61,132%,0.51,32%,0.26,0.51,-0.98,,,
10017,14.40,10.94,132%,3.46,32%,11.99,3.46,0.58,,,
2006,14.05,10.68,132%,3.38,32%,11.40,3.38,0.54,,,
1815,18.49,14.06,131%,4.43,31%,19.59,4.43,1.10,,,
11098,1.94,1.48,131%,0.46,31%,0.22,0.46,-1.00,,,
4782,2.46,1.87,131%,0.59,31%,0.34,0.59,-0.93,,,
3024,7.12,5.42,131%,1.70,31%,2.89,1.70,-0.34,,,
153,3.32,2.53,131%,0.79,31%,0.62,0.79,-0.82,,,
4868,11.25,8.58,131%,2.67,31%,7.14,2.67,0.18,,,
8189,8.83,6.74,131%,2.09,31%,4.37,2.09,-0.12,,,
10867,7.87,6.01,131%,1.86,31%,3.46,1.86,-0.24,,,
7809,4.09,3.12,131%,0.97,31%,0.93,0.97,-0.73,,,
12118,5.50,4.21,131%,1.30,31%,1.69,1.30,-0.54,,,
401,5.24,4.01,131%,1.23,31%,1.52,1.23,-0.58,,,
10854,6.61,5.06,131%,1.55,31%,2.40,1.55,-0.40,,,
3728,2.49,1.91,131%,0.58,31%,0.34,0.58,-0.93,,,
3371,3.60,2.76,131%,0.84,31%,0.71,0.84,-0.79,,,
10012,3.69,2.83,130%,0.86,30%,0.74,0.86,-0.78,,,
1176,4.75,3.65,130%,1.10,30%,1.22,1.10,-0.64,,,
10148,2.10,1.61,130%,0.49,30%,0.24,0.49,-0.98,,,
3910,18.57,14.26,130%,4.31,30%,18.57,4.31,1.13,,,
5091,2.14,1.64,130%,0.50,30%,0.25,0.50,-0.97,,,
3969,3.46,2.66,130%,0.80,30%,0.64,0.80,-0.80,,,
10319,12.66,9.73,130%,2.93,30%,8.59,2.93,0.38,,,
1783,8.89,6.83,130%,2.06,30%,4.23,2.06,-0.11,,,
9776,2.69,2.07,130%,0.62,30%,0.39,0.62,-0.90,,,
2278,6.83,5.26,130%,1.57,30%,2.48,1.57,-0.37,,,
7393,7.17,5.52,130%,1.65,30%,2.72,1.65,-0.33,,,
8825,4.73,3.65,130%,1.09,30%,1.18,1.09,-0.64,,,
7540,2.34,1.81,130%,0.53,30%,0.29,0.53,-0.95,,,
5933,7.91,6.11,130%,1.80,30%,3.25,1.80,-0.23,,,
9430,2.89,2.23,129%,0.66,29%,0.43,0.66,-0.87,,,
2929,3.45,2.66,129%,0.78,29%,0.61,0.78,-0.80,,,
10844,4.00,3.09,129%,0.91,29%,0.83,0.91,-0.73,,,
6971,3.53,2.73,129%,0.80,29%,0.64,0.80,-0.79,,,
9423,49.66,38.44,129%,11.22,29%,125.80,11.22,5.17,,,
1159,3.14,2.43,129%,0.71,29%,0.50,0.71,-0.84,,,
10328,3.48,2.69,129%,0.78,29%,0.61,0.78,-0.80,,,
12075,4.02,3.12,129%,0.90,29%,0.81,0.90,-0.73,,,
2813,2.16,1.68,129%,0.48,29%,0.23,0.48,-0.97,,,
4941,3.64,2.83,129%,0.81,29%,0.66,0.81,-0.78,,,
2655,5.03,3.91,129%,1.12,29%,1.26,1.12,-0.59,,,
8661,4.14,3.22,129%,0.92,29%,0.84,0.92,-0.71,,,
4446,4.05,3.15,129%,0.90,29%,0.81,0.90,-0.72,,,
8172,6.29,4.90,128%,1.39,28%,1.94,1.39,-0.43,,,
2586,2.36,1.84,128%,0.52,28%,0.27,0.52,-0.94,,,
9229,27.41,21.36,128%,6.06,28%,36.68,6.06,2.32,,,
2873,6.24,4.86,128%,1.38,28%,1.90,1.38,-0.44,,,
5657,4.13,3.22,128%,0.91,28%,0.83,0.91,-0.71,,,
1755,3.45,2.69,128%,0.76,28%,0.58,0.76,-0.80,,,
2949,10.74,8.38,128%,2.36,28%,5.56,2.36,0.15,,,
1410,3.71,2.89,128%,0.81,28%,0.66,0.81,-0.76,,,
10959,11.19,8.74,128%,2.45,28%,6.02,2.45,0.21,,,
12986,2.44,1.91,128%,0.53,28%,0.29,0.53,-0.93,,,
6181,4.08,3.19,128%,0.89,28%,0.80,0.89,-0.71,,,
6113,6.14,4.80,128%,1.35,28%,1.81,1.35,-0.45,,,
3115,3.87,3.02,128%,0.84,28%,0.71,0.84,-0.74,,,
2793,4.67,3.65,128%,1.02,28%,1.04,1.02,-0.64,,,
7239,9.36,7.33,128%,2.04,28%,4.15,2.04,-0.02,,,
5319,7.14,5.59,128%,1.55,28%,2.41,1.55,-0.31,,,
6736,5.79,4.53,128%,1.25,28%,1.57,1.25,-0.49,,,
12253,10.82,8.48,128%,2.34,28%,5.50,2.34,0.17,,,
12246,3.98,3.12,128%,0.86,28%,0.74,0.86,-0.73,,,
5318,3.60,2.83,128%,0.78,28%,0.61,0.78,-0.78,,,
1419,5.82,4.57,128%,1.26,28%,1.58,1.26,-0.48,,,
5349,8.71,6.83,127%,1.88,27%,3.53,1.88,-0.11,,,
11993,10.43,8.18,127%,2.25,27%,5.04,2.25,0.12,,,
4526,8.42,6.60,127%,1.81,27%,3.28,1.81,-0.14,,,
7698,18.25,14.32,127%,3.93,27%,15.44,3.93,1.14,,,
7694,4.14,3.25,127%,0.89,27%,0.79,0.89,-0.70,,,
4883,2.83,2.23,127%,0.60,27%,0.36,0.60,-0.87,,,
11431,21.24,16.79,127%,4.45,27%,19.84,4.45,1.56,,,
9512,10.85,8.58,126%,2.27,26%,5.16,2.27,0.18,,,
3021,9.00,7.13,126%,1.87,26%,3.49,1.87,-0.06,,,
9009,6.80,5.39,126%,1.41,26%,1.98,1.41,-0.35,,,
1127,5.76,4.57,126%,1.19,26%,1.42,1.19,-0.48,,,
860,6.13,4.86,126%,1.27,26%,1.60,1.27,-0.44,,,
12063,8.03,6.37,126%,1.66,26%,2.74,1.66,-0.18,,,
8572,3.93,3.12,126%,0.81,26%,0.66,0.81,-0.73,,,
4499,2.40,1.91,126%,0.49,26%,0.24,0.49,-0.93,,,
1606,1.99,1.58,126%,0.41,26%,0.17,0.41,-0.98,,,
10411,6.03,4.80,126%,1.23,26%,1.51,1.23,-0.45,,,
8107,19.57,15.57,126%,3.99,26%,15.96,3.99,1.35,,,
8545,7.80,6.21,126%,1.59,26%,2.53,1.59,-0.21,,,
12806,8.95,7.13,126%,1.82,26%,3.33,1.82,-0.06,,,
8328,1.69,1.35,126%,0.34,26%,0.12,0.34,-1.02,,,
5727,4.33,3.45,126%,0.88,26%,0.78,0.88,-0.67,,,
4253,6.39,5.09,125%,1.30,25%,1.68,1.30,-0.40,,,
9013,16.89,13.47,125%,3.42,25%,11.69,3.42,1.00,,,
4487,9.47,7.56,125%,1.92,25%,3.68,1.92,0.01,,,
7637,4.40,3.52,125%,0.89,25%,0.79,0.89,-0.66,,,
5578,6.87,5.49,125%,1.39,25%,1.92,1.39,-0.33,,,
5166,2.18,1.74,125%,0.44,25%,0.19,0.44,-0.96,,,
2796,2.05,1.64,125%,0.41,25%,0.17,0.41,-0.97,,,
7368,4.96,3.98,125%,0.99,25%,0.98,0.99,-0.58,,,
6717,7.83,6.28,125%,1.55,25%,2.41,1.55,-0.20,,,
11601,5.53,4.44,125%,1.09,25%,1.19,1.09,-0.51,,,
11533,4.71,3.78,125%,0.93,25%,0.87,0.93,-0.62,,,
11465,3.89,3.12,125%,0.77,25%,0.59,0.77,-0.73,,,
7595,3.76,3.02,125%,0.74,25%,0.55,0.74,-0.74,,,
6506,7.61,6.11,124%,1.49,24%,2.23,1.49,-0.23,,,
1383,7.24,5.82,124%,1.42,24%,2.02,1.42,-0.28,,,
1550,6.53,5.26,124%,1.28,24%,1.63,1.28,-0.37,,,
4557,2.82,2.27,124%,0.55,24%,0.30,0.55,-0.87,,,
394,4.49,3.61,124%,0.87,24%,0.76,0.87,-0.64,,,
7831,2.04,1.64,124%,0.40,24%,0.16,0.40,-0.97,,,
8907,4.28,3.45,124%,0.83,24%,0.69,0.83,-0.67,,,
10628,61.46,49.51,124%,11.95,24%,142.83,11.95,7.02,,,
2545,6.96,5.62,124%,1.34,24%,1.80,1.34,-0.31,,,
5788,3.38,2.73,124%,0.65,24%,0.42,0.65,-0.79,,,
5299,5.73,4.63,124%,1.10,24%,1.21,1.10,-0.47,,,
4583,9.84,7.95,124%,1.89,24%,3.57,1.89,0.08,,,
11006,10.24,8.28,124%,1.96,24%,3.84,1.96,0.14,,,
10633,4.59,3.71,124%,0.88,24%,0.77,0.88,-0.63,,,
8524,4.46,3.61,123%,0.85,23%,0.72,0.85,-0.64,,,
12489,3.73,3.02,123%,0.71,23%,0.50,0.71,-0.74,,,
6603,8.51,6.90,123%,1.61,23%,2.59,1.61,-0.10,,,
4437,14.81,12.02,123%,2.79,23%,7.78,2.79,0.76,,,
13028,3.40,2.76,123%,0.64,23%,0.41,0.64,-0.79,,,
6784,4.12,3.35,123%,0.77,23%,0.60,0.77,-0.69,,,
11560,3.39,2.76,123%,0.63,23%,0.40,0.63,-0.79,,,
11930,7.79,6.34,123%,1.45,23%,2.11,1.45,-0.19,,,
12298,3.79,3.09,123%,0.71,23%,0.50,0.71,-0.73,,,
2917,10.17,8.28,123%,1.89,23%,3.57,1.89,0.14,,,
6930,3.15,2.56,123%,0.58,23%,0.34,0.58,-0.82,,,
9991,3.75,3.06,123%,0.70,23%,0.48,0.70,-0.74,,,
12772,2.78,2.27,123%,0.52,23%,0.27,0.52,-0.87,,,
10415,17.82,14.52,123%,3.30,23%,10.89,3.30,1.18,,,
7517,5.20,4.24,123%,0.96,23%,0.92,0.96,-0.54,,,
5274,6.04,4.93,123%,1.11,23%,1.24,1.11,-0.42,,,
5841,15.85,12.94,122%,2.91,22%,8.46,2.91,0.91,,,
12873,30.12,24.61,122%,5.51,22%,30.39,5.51,2.86,,,
849,12.41,10.15,122%,2.26,22%,5.11,2.26,0.45,,,
4378,2.37,1.94,122%,0.43,22%,0.19,0.43,-0.92,,,
6765,6.02,4.93,122%,1.10,22%,1.20,1.10,-0.42,,,
11070,5.62,4.60,122%,1.02,22%,1.04,1.02,-0.48,,,
618,40.06,32.79,122%,7.27,22%,52.92,7.27,4.23,,,
10732,6.34,5.19,122%,1.15,22%,1.32,1.15,-0.38,,,
4838,5.86,4.80,122%,1.06,22%,1.13,1.06,-0.45,,,
4287,3.25,2.66,122%,0.59,22%,0.34,0.59,-0.80,,,
10726,18.21,14.92,122%,3.29,22%,10.84,3.29,1.24,,,
8903,6.09,4.99,122%,1.10,22%,1.21,1.10,-0.41,,,
9350,6.81,5.59,122%,1.23,22%,1.50,1.23,-0.31,,,
2953,4.85,3.98,122%,0.87,22%,0.76,0.87,-0.58,,,
13130,7.85,6.44,122%,1.41,22%,2.00,1.41,-0.17,,,
3635,3.08,2.53,122%,0.56,22%,0.31,0.56,-0.82,,,
5038,9.69,7.95,122%,1.74,22%,3.04,1.74,0.08,,,
6596,6.89,5.65,122%,1.24,22%,1.53,1.24,-0.30,,,
10638,13.17,10.81,122%,2.36,22%,5.57,2.36,0.56,,,
12,3.36,2.76,122%,0.60,22%,0.36,0.60,-0.79,,,
9739,4.00,3.29,122%,0.71,22%,0.51,0.71,-0.70,,,
3293,4.52,3.71,122%,0.81,22%,0.65,0.81,-0.63,,,
2151,13.03,10.71,122%,2.32,22%,5.38,2.32,0.54,,,
5662,3.68,3.02,122%,0.65,22%,0.43,0.65,-0.74,,,
11329,3.19,2.63,122%,0.57,22%,0.32,0.57,-0.81,,,
6842,6.03,4.96,122%,1.07,22%,1.14,1.07,-0.42,,,
2497,3.55,2.92,121%,0.63,21%,0.39,0.63,-0.76,,,
3622,2.67,2.20,121%,0.47,21%,0.22,0.47,-0.88,,,
6515,17.19,14.16,121%,3.03,21%,9.20,3.03,1.12,,,
10731,10.61,8.74,121%,1.87,21%,3.50,1.87,0.21,,,
9877,3.95,3.25,121%,0.69,21%,0.48,0.69,-0.70,,,
423,4.18,3.45,121%,0.73,21%,0.54,0.73,-0.67,,,
146,3.62,2.99,121%,0.63,21%,0.40,0.63,-0.75,,,
10985,17.11,14.13,121%,2.99,21%,8.91,2.99,1.11,,,
9926,8.99,7.43,121%,1.57,21%,2.46,1.57,-0.01,,,
12563,3.54,2.92,121%,0.62,21%,0.38,0.62,-0.76,,,
2720,5.60,4.63,121%,0.97,21%,0.94,0.97,-0.47,,,
1969,2.94,2.43,121%,0.51,21%,0.26,0.51,-0.84,,,
1168,13.87,11.47,121%,2.40,21%,5.76,2.40,0.67,,,
3824,4.85,4.01,121%,0.84,21%,0.70,0.84,-0.58,,,
4153,6.79,5.62,121%,1.17,21%,1.37,1.17,-0.31,,,
5639,3.65,3.02,121%,0.63,21%,0.39,0.63,-0.74,,,
7272,4.12,3.42,121%,0.71,21%,0.50,0.71,-0.68,,,
12643,3.76,3.12,121%,0.64,21%,0.41,0.64,-0.73,,,
1328,11.48,9.53,120%,1.95,20%,3.81,1.95,0.34,,,
1142,5.38,4.47,120%,0.91,20%,0.83,0.91,-0.50,,,
11356,4.55,3.78,120%,0.77,20%,0.59,0.77,-0.62,,,
11645,2.17,1.81,120%,0.37,20%,0.13,0.37,-0.95,,,
12505,6.16,5.13,120%,1.03,20%,1.07,1.03,-0.39,,,
5623,5.84,4.86,120%,0.98,20%,0.96,0.98,-0.44,,,
5885,12.90,10.74,120%,2.15,20%,4.63,2.15,0.55,,,
6045,4.96,4.14,120%,0.82,20%,0.68,0.82,-0.56,,,
7628,2.84,2.37,120%,0.47,20%,0.22,0.47,-0.85,,,
3816,12.21,10.19,120%,2.02,20%,4.09,2.02,0.45,,,
12436,4.09,3.42,120%,0.68,20%,0.46,0.68,-0.68,,,
8259,4.72,3.94,120%,0.78,20%,0.61,0.78,-0.59,,,
8378,11.21,9.36,120%,1.85,20%,3.42,1.85,0.32,,,
2710,2.44,2.04,120%,0.40,20%,0.16,0.40,-0.91,,,
9503,3.89,3.25,120%,0.64,20%,0.41,0.64,-0.70,,,
11814,3.18,2.66,120%,0.52,20%,0.27,0.52,-0.80,,,
935,4.99,4.17,120%,0.82,20%,0.67,0.82,-0.55,,,
13131,3.34,2.79,120%,0.55,20%,0.30,0.55,-0.78,,,
1862,5.54,4.63,120%,0.91,20%,0.82,0.91,-0.47,,,
6708,3.30,2.76,120%,0.54,20%,0.29,0.54,-0.79,,,
142,5.92,4.96,119%,0.96,19%,0.91,0.96,-0.42,,,
6481,5.05,4.24,119%,0.82,19%,0.67,0.82,-0.54,,,
991,7.16,6.01,119%,1.15,19%,1.32,1.15,-0.24,,,
8918,16.63,13.96,119%,2.67,19%,7.11,2.67,1.08,,,
12127,2.74,2.30,119%,0.44,19%,0.19,0.44,-0.86,,,
916,7.04,5.91,119%,1.13,19%,1.27,1.13,-0.26,,,
5713,4.50,3.78,119%,0.72,19%,0.52,0.72,-0.62,,,
4716,4.61,3.88,119%,0.74,19%,0.54,0.74,-0.60,,,
1962,3.25,2.73,119%,0.52,19%,0.27,0.52,-0.79,,,
9249,4.03,3.38,119%,0.64,19%,0.41,0.64,-0.68,,,
7880,1.64,1.38,119%,0.26,19%,0.07,0.26,-1.02,,,
1994,2.62,2.20,119%,0.42,19%,0.17,0.42,-0.88,,,
11444,5.12,4.30,119%,0.82,19%,0.67,0.82,-0.53,,,
9300,4.30,3.61,119%,0.68,19%,0.47,0.68,-0.64,,,
4339,4.34,3.65,119%,0.69,19%,0.48,0.69,-0.64,,,
12229,4.06,3.42,119%,0.65,19%,0.42,0.65,-0.68,,,
10237,3.09,2.60,119%,0.49,19%,0.24,0.49,-0.81,,,
1102,10.15,8.54,119%,1.61,19%,2.59,1.61,0.18,,,
4531,5.39,4.53,119%,0.85,19%,0.73,0.85,-0.49,,,
545,4.88,4.11,119%,0.77,19%,0.59,0.77,-0.56,,,
784,2.34,1.97,119%,0.37,19%,0.14,0.37,-0.92,,,
7165,4.25,3.58,119%,0.67,19%,0.45,0.67,-0.65,,,
12096,3.12,2.63,119%,0.49,19%,0.24,0.49,-0.81,,,
7307,7.44,6.28,119%,1.17,19%,1.36,1.17,-0.20,,,
5354,5.26,4.44,119%,0.82,19%,0.68,0.82,-0.51,,,
7853,7.67,6.47,119%,1.20,19%,1.44,1.20,-0.17,,,
9183,3.43,2.89,119%,0.54,19%,0.29,0.54,-0.76,,,
1577,5.49,4.63,119%,0.86,19%,0.74,0.86,-0.47,,,
7847,3.62,3.06,119%,0.57,19%,0.32,0.57,-0.74,,,
11119,2.22,1.87,118%,0.35,18%,0.12,0.35,-0.93,,,
459,2.61,2.20,118%,0.41,18%,0.16,0.41,-0.88,,,
12374,4.67,3.94,118%,0.73,18%,0.53,0.73,-0.59,,,
12320,4.19,3.55,118%,0.64,18%,0.42,0.64,-0.65,,,
2577,4.85,4.11,118%,0.75,18%,0.56,0.75,-0.56,,,
8088,3.84,3.25,118%,0.59,18%,0.35,0.59,-0.70,,,
663,8.15,6.90,118%,1.25,18%,1.56,1.25,-0.10,,,
9974,3.10,2.63,118%,0.47,18%,0.23,0.47,-0.81,,,
161,1.78,1.51,118%,0.27,18%,0.07,0.27,-0.99,,,
3808,14.66,12.42,118%,2.24,18%,5.02,2.24,0.83,,,
8349,5.66,4.80,118%,0.86,18%,0.74,0.86,-0.45,,,
1964,6.43,5.45,118%,0.98,18%,0.96,0.98,-0.34,,,
7953,3.60,3.06,118%,0.55,18%,0.30,0.55,-0.74,,,
6135,5.95,5.06,118%,0.89,18%,0.80,0.89,-0.40,,,
2022,4.87,4.14,118%,0.73,18%,0.53,0.73,-0.56,,,
5031,5.02,4.27,118%,0.75,18%,0.57,0.75,-0.53,,,
605,14.92,12.68,118%,2.23,18%,4.99,2.23,0.87,,,
10662,3.28,2.79,118%,0.49,18%,0.24,0.49,-0.78,,,
9045,6.61,5.62,118%,0.99,18%,0.97,0.99,-0.31,,,
9169,4.86,4.14,117%,0.72,17%,0.52,0.72,-0.56,,,
9640,10.33,8.81,117%,1.53,17%,2.34,1.53,0.22,,,
5918,42.21,35.98,117%,6.23,17%,38.82,6.23,4.76,,,
8375,1.85,1.58,117%,0.27,17%,0.07,0.27,-0.98,,,
10825,3.27,2.79,117%,0.48,17%,0.23,0.48,-0.78,,,
3342,5.31,4.53,117%,0.78,17%,0.60,0.78,-0.49,,,
3486,5.89,5.03,117%,0.86,17%,0.74,0.86,-0.41,,,
10984,2.42,2.07,117%,0.35,17%,0.12,0.35,-0.90,,,
4465,19.78,16.92,117%,2.86,17%,8.17,2.86,1.58,,,
11073,19.11,16.36,117%,2.75,17%,7.55,2.75,1.48,,,
7507,4.18,3.58,117%,0.60,17%,0.36,0.60,-0.65,,,
7810,4.60,3.94,117%,0.66,17%,0.44,0.66,-0.59,,,
8517,20.83,17.84,117%,2.99,17%,8.95,2.99,1.73,,,
1123,4.64,3.98,117%,0.67,17%,0.44,0.67,-0.58,,,
4496,5.18,4.44,117%,0.74,17%,0.55,0.74,-0.51,,,
2957,21.85,18.73,117%,3.12,17%,9.72,3.12,1.88,,,
10522,10.80,9.27,117%,1.54,17%,2.37,1.54,0.30,,,
7115,6.51,5.59,117%,0.93,17%,0.86,0.93,-0.31,,,
11912,4.25,3.65,117%,0.60,17%,0.36,0.60,-0.64,,,
74,2.41,2.07,117%,0.34,17%,0.12,0.34,-0.90,,,
3301,1.37,1.18,116%,0.19,16%,0.04,0.19,-1.05,,,
2360,11.72,10.09,116%,1.63,16%,2.67,1.63,0.44,,,
9809,2.13,1.84,116%,0.29,16%,0.09,0.29,-0.94,,,
8745,6.25,5.39,116%,0.86,16%,0.74,0.86,-0.35,,,
4598,8.41,7.26,116%,1.15,16%,1.33,1.15,-0.03,,,
3803,12.59,10.87,116%,1.71,16%,2.93,1.71,0.57,,,
4225,13.18,11.40,116%,1.78,16%,3.15,1.78,0.66,,,
1762,21.10,18.27,116%,2.84,16%,8.05,2.84,1.80,,,
3853,2.81,2.43,116%,0.38,16%,0.14,0.38,-0.84,,,
9158,13.28,11.50,116%,1.78,16%,3.18,1.78,0.67,,,
6752,3.34,2.89,115%,0.45,15%,0.20,0.45,-0.76,,,
1231,6.89,5.98,115%,0.91,15%,0.84,0.91,-0.25,,,
1359,1.85,1.61,115%,0.24,15%,0.06,0.24,-0.98,,,
490,8.70,7.56,115%,1.14,15%,1.31,1.14,0.01,,,
11017,2.38,2.07,115%,0.31,15%,0.10,0.31,-0.90,,,
10400,3.70,3.22,115%,0.48,15%,0.23,0.48,-0.71,,,
9278,6.08,5.29,115%,0.79,15%,0.63,0.79,-0.36,,,
3623,8.08,7.03,115%,1.05,15%,1.10,1.05,-0.07,,,
12728,12.00,10.45,115%,1.56,15%,2.42,1.56,0.50,,,
9081,2.34,2.04,115%,0.30,15%,0.09,0.30,-0.91,,,
7030,5.09,4.44,115%,0.66,15%,0.43,0.66,-0.51,,,
12756,3.74,3.25,115%,0.48,15%,0.23,0.48,-0.70,,,
5065,3.58,3.12,115%,0.46,15%,0.21,0.46,-0.73,,,
1329,4.49,3.91,115%,0.58,15%,0.33,0.58,-0.59,,,
1836,7.39,6.44,115%,0.95,15%,0.90,0.95,-0.17,,,
10953,13.42,11.70,115%,1.72,15%,2.97,1.72,0.71,,,
6938,4.86,4.24,115%,0.62,15%,0.39,0.62,-0.54,,,
11698,2.75,2.40,115%,0.35,15%,0.12,0.35,-0.85,,,
1125,5.16,4.50,115%,0.66,15%,0.43,0.66,-0.50,,,
1401,5.65,4.93,115%,0.72,15%,0.52,0.72,-0.42,,,
8582,2.11,1.84,115%,0.27,15%,0.07,0.27,-0.94,,,
3060,6.02,5.26,115%,0.77,15%,0.59,0.77,-0.37,,,
2484,4.03,3.52,115%,0.51,15%,0.26,0.51,-0.66,,,
130,10.01,8.74,115%,1.27,15%,1.61,1.27,0.21,,,
10593,4.77,4.17,114%,0.60,14%,0.36,0.60,-0.55,,,
4247,10.44,9.13,114%,1.31,14%,1.72,1.31,0.28,,,
2776,6.16,5.39,114%,0.77,14%,0.59,0.77,-0.35,,,
7550,1.88,1.64,114%,0.23,14%,0.06,0.23,-0.97,,,
13066,4.43,3.88,114%,0.55,14%,0.31,0.55,-0.60,,,
11775,3.42,2.99,114%,0.43,14%,0.18,0.43,-0.75,,,
1291,14.38,12.58,114%,1.79,14%,3.21,1.79,0.85,,,
791,4.91,4.30,114%,0.61,14%,0.37,0.61,-0.53,,,
5469,3.11,2.73,114%,0.38,14%,0.14,0.38,-0.79,,,
4217,2.51,2.20,114%,0.30,14%,0.09,0.30,-0.88,,,
7346,3.44,3.02,114%,0.41,14%,0.17,0.41,-0.74,,,
8558,7.47,6.57,114%,0.90,14%,0.81,0.90,-0.15,,,
11875,10.04,8.84,114%,1.20,14%,1.45,1.20,0.23,,,
1853,3.28,2.89,114%,0.39,14%,0.16,0.39,-0.76,,,
5778,3.32,2.92,114%,0.40,14%,0.16,0.40,-0.76,,,
6433,12.99,11.43,114%,1.56,14%,2.42,1.56,0.66,,,
2909,9.96,8.77,114%,1.19,14%,1.41,1.19,0.22,,,
2968,4.33,3.81,114%,0.51,14%,0.27,0.51,-0.61,,,
6949,4.47,3.94,113%,0.53,13%,0.28,0.53,-0.59,,,
3732,52.17,46.00,113%,6.17,13%,38.08,6.17,6.43,,,
1052,4.17,3.68,113%,0.49,13%,0.24,0.49,-0.63,,,
6262,4.91,4.34,113%,0.58,13%,0.33,0.58,-0.52,,,
2354,12.24,10.81,113%,1.43,13%,2.04,1.43,0.56,,,
5611,7.74,6.83,113%,0.90,13%,0.81,0.90,-0.11,,,
2018,7.25,6.41,113%,0.84,13%,0.71,0.84,-0.18,,,
5173,3.31,2.92,113%,0.39,13%,0.15,0.39,-0.76,,,
5655,11.12,9.82,113%,1.29,13%,1.67,1.29,0.39,,,
